,Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
0,23.65,-27.07,ponta do sol,PT,2021-01-13 10:32:01,11.2,63.0,75.0,3.09
1,32.64,-56.34,saint george,US,2021-01-13 10:28:20,0.0,37.0,1.0,0.72
2,85.35,155.08,chokurdakh,RU,2021-01-13 10:31:44,-39.34,83.0,31.0,0.52
3,-29.18,60.31,saint-philippe,RE,2021-01-13 10:31:47,28.2,70.0,90.0,3.09
4,33.34,-172.68,kapaa,US,2021-01-13 10:31:48,22.0,83.0,1.0,3.09
5,63.24,-143.89,fairbanks,US,2021-01-13 10:30:03,-19.37,84.0,75.0,1.03
6,71.28,-132.96,tuktoyaktuk,CA,2021-01-13 10:31:49,-27.47,89.0,97.0,3.71
7,44.72,160.74,severo-kurilsk,RU,2021-01-13 10:31:49,-7.71,88.0,79.0,5.13
8,1.06,122.85,gorontalo,ID,2021-01-13 10:30:30,26.16,87.0,100.0,1.08
9,-43.45,-53.41,mar del plata,AR,2021-01-13 10:30:45,14.68,77.0,0.0,4.12
10,22.38,164.59,butaritari,KI,2021-01-13 10:31:51,26.98,82.0,100.0,7.93
11,33.25,-83.9,covington,US,2021-01-13 10:31:52,-2.23,86.0,1.0,3.26
12,79.2,-61.75,narsaq,GL,2021-01-13 10:27:07,0.0,86.0,90.0,1.54
13,12.07,-4.62,yorosso,ML,2021-01-13 10:31:53,32.48,10.0,0.0,5.95
14,-33.99,-122.31,rikitea,PF,2021-01-13 10:31:54,25.19,80.0,0.0,7.26
15,-44.33,115.95,albany,US,2021-01-13 10:30:02,-3.12,75.0,0.0,0.77
16,-39.54,-163.4,avarua,CK,2021-01-13 10:31:55,27.0,78.0,75.0,6.69
17,41.53,147.46,nemuro,JP,2021-01-13 10:31:56,-1.0,80.0,20.0,6.17
18,-69.67,18.85,bredasdorp,ZA,2021-01-13 10:31:56,23.0,73.0,90.0,7.72
19,-24.14,3.52,henties bay,NA,2021-01-13 10:31:57,19.85,80.0,99.0,1.99
20,66.44,138.46,deputatskiy,RU,2021-01-13 10:31:58,-37.43,76.0,95.0,0.42
21,1.68,-147.28,atuona,PF,2021-01-13 10:31:58,25.15,82.0,65.0,7.27
22,58.48,89.95,novobirilyussy,RU,2021-01-13 10:31:59,-29.4,87.0,57.0,0.95
23,56.81,54.57,foki,RU,2021-01-13 10:32:00,-22.28,90.0,67.0,1.93
24,38.53,172.21,nikolskoye,RU,2021-01-13 10:32:01,-13.47,78.0,75.0,6.0
25,-82.52,40.74,port alfred,ZA,2021-01-13 10:32:17,21.11,95.0,100.0,1.34
26,8.82,61.07,bandarbeyla,SO,2021-01-13 10:32:18,25.61,56.0,0.0,11.44
27,-29.9,-8.4,jamestown,US,2021-01-13 10:32:19,-2.99,100.0,90.0,4.28
28,86.73,81.88,dikson,RU,2021-01-13 10:32:19,-30.46,87.0,23.0,4.68
29,21.83,-131.53,lompoc,US,2021-01-13 10:27:29,7.25,93.0,1.0,2.72
30,48.88,-60.35,channel-port aux basques,CA,2021-01-13 10:32:21,-1.9,94.0,30.0,2.16
31,47.48,35.91,mala tokmachka,UA,2021-01-13 10:32:21,0.0,100.0,90.0,4.55
32,12.54,77.53,kanakapura,IN,2021-01-13 10:32:22,26.43,50.0,40.0,4.12
33,-85.32,5.0,hermanus,ZA,2021-01-13 10:32:22,23.89,78.0,90.0,4.02
34,77.14,-146.46,barrow,US,2021-01-13 10:31:07,-19.0,78.0,1.0,11.32
35,-7.49,-23.88,georgetown,MY,2021-01-13 10:30:47,29.5,62.0,20.0,3.09
37,74.91,-93.16,thompson,CA,2021-01-13 10:32:25,-4.0,100.0,90.0,2.57
38,4.93,-105.48,acapulco,MX,2021-01-13 10:32:26,23.53,68.0,18.0,2.0
40,-56.91,-101.69,punta arenas,CL,2021-01-13 10:27:41,7.89,81.0,90.0,1.54
41,-65.64,167.14,bluff,NZ,2021-01-13 10:32:28,13.33,86.0,95.0,0.45
42,-71.41,-61.87,ushuaia,AR,2021-01-13 10:32:28,6.0,75.0,40.0,3.6
43,-63.26,-15.35,cape town,ZA,2021-01-13 10:27:54,28.89,54.0,0.0,11.32
45,2.58,45.03,wanlaweyn,SO,2021-01-13 10:32:30,35.12,26.0,0.0,8.49
46,44.58,141.87,nayoro,JP,2021-01-13 10:32:31,-4.41,95.0,68.0,4.38
47,13.06,52.76,bereda,ES,2021-01-13 10:32:31,8.37,100.0,20.0,2.06
48,-85.74,38.71,port elizabeth,ZA,2021-01-13 10:30:33,22.0,88.0,90.0,5.14
49,-13.3,24.19,kabompo,ZM,2021-01-13 10:32:33,22.98,88.0,99.0,3.28
50,-35.02,5.55,saldanha,ZA,2021-01-13 10:32:33,31.0,40.0,14.0,4.63
51,-23.86,-60.36,pozo colorado,PY,2021-01-13 10:32:35,24.47,88.0,100.0,3.15
52,-8.71,154.22,buin,CL,2021-01-13 10:32:35,14.97,54.0,0.0,0.14
53,59.14,18.92,norrtalje,SE,2021-01-13 10:32:36,0.93,90.0,100.0,4.47
54,-5.55,123.39,katobu,ID,2021-01-13 10:32:37,25.75,89.0,100.0,1.38
55,59.25,-64.45,iqaluit,CA,2021-01-13 10:30:15,-19.0,71.0,90.0,6.17
56,50.29,98.42,kungurtug,RU,2021-01-13 10:32:38,-16.14,89.0,100.0,0.43
57,-48.26,92.01,busselton,AU,2021-01-13 10:32:38,24.44,41.0,8.0,1.34
58,55.84,131.65,tokur,RU,2021-01-13 10:32:39,-27.85,89.0,100.0,1.8
59,29.07,-132.25,pacific grove,US,2021-01-13 10:27:40,8.87,87.0,1.0,2.06
60,-70.18,-178.87,vaini,TO,2021-01-13 10:32:40,25.0,100.0,40.0,1.54
61,-8.64,157.06,gizo,SB,2021-01-13 10:32:41,28.8,74.0,100.0,4.54
63,3.02,52.59,hobyo,SO,2021-01-13 10:32:42,26.95,64.0,19.0,10.43
64,69.17,-114.88,yellowknife,CA,2021-01-13 10:32:43,-10.21,92.0,90.0,5.66
65,-7.37,-153.48,faanui,PF,2021-01-13 10:32:43,27.44,77.0,100.0,8.75
66,54.87,141.43,mnogovershinnyy,RU,2021-01-13 10:32:44,-26.44,87.0,100.0,1.15
67,-21.52,-87.77,pisco,PE,2021-01-13 10:32:45,18.95,82.0,20.0,2.57
69,-9.77,111.53,boyolangu,ID,2021-01-13 10:32:46,26.13,83.0,99.0,3.17
70,62.31,44.71,verkhnyaya toyma,RU,2021-01-13 10:32:46,-24.32,89.0,1.0,1.7
71,-22.82,-26.24,caravelas,BR,2021-01-13 10:32:47,26.58,75.0,21.0,1.38
72,-63.19,131.78,new norfolk,AU,2021-01-13 10:32:48,17.74,76.0,79.0,0.45
74,51.74,146.99,vostok,RU,2021-01-13 10:32:49,-13.32,96.0,98.0,1.35
75,-4.49,91.7,padang,ID,2021-01-13 10:32:50,26.07,73.0,88.0,4.0
76,68.89,18.31,setermoen,NO,2021-01-13 10:32:50,-15.0,72.0,0.0,2.06
77,-34.52,164.52,ahipara,NZ,2021-01-13 10:32:51,17.42,89.0,6.0,2.95
78,1.89,-154.41,hilo,US,2021-01-13 10:30:14,19.17,83.0,1.0,0.93
79,66.41,55.0,izhma,RU,2021-01-13 10:32:53,-24.61,89.0,62.0,1.29
80,3.08,99.78,teluk nibung,ID,2021-01-13 10:32:53,25.9,84.0,94.0,1.86
81,-15.75,21.76,kalabo,ZM,2021-01-13 10:32:54,25.66,72.0,100.0,3.11
82,-87.84,-142.5,mataura,NZ,2021-01-13 10:32:54,13.33,86.0,59.0,0.45
83,-3.06,75.42,hithadhoo,MV,2021-01-13 10:32:55,27.88,74.0,12.0,9.54
84,33.71,-128.84,half moon bay,US,2021-01-13 10:32:56,10.06,93.0,1.0,0.65
85,63.88,-122.57,norman wells,CA,2021-01-13 10:32:56,-20.0,84.0,90.0,3.6
87,-6.19,-86.18,talara,PE,2021-01-13 10:32:57,21.64,79.0,62.0,5.89
88,54.1,96.38,toora-khem,RU,2021-01-13 10:32:58,-18.78,90.0,100.0,0.04
89,50.2,-35.91,nanortalik,GL,2021-01-13 10:32:59,-1.06,95.0,100.0,6.84
90,13.07,82.28,kattivakkam,IN,2021-01-13 10:32:59,30.0,66.0,40.0,5.14
91,-40.28,-38.1,cidreira,BR,2021-01-13 10:32:09,21.94,78.0,95.0,5.11
92,21.3,24.94,faya,SA,2021-01-13 10:33:00,17.0,39.0,40.0,5.14
93,-25.44,39.3,inhambane,MZ,2021-01-13 10:33:01,27.0,94.0,75.0,1.03
95,26.13,126.17,itoman,JP,2021-01-13 10:33:02,14.36,58.0,75.0,2.06
96,15.14,45.83,sayyan,YE,2021-01-13 10:31:10,17.12,29.0,21.0,2.55
97,4.01,35.88,lodwar,KE,2021-01-13 10:33:04,35.17,22.0,0.0,8.18
99,80.95,93.53,talnakh,RU,2021-01-13 10:33:06,-25.97,87.0,89.0,4.77
